P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-886 b,6.2414637,Kepler-886,43.595234,13.939,1.1,6098.0,0.068469646,355.59704,1106.3294,Superterran,1.16,F,1.6670718,Hot,0,0.2816728,1.52456,2.9378483,0.068469646
Kepler-887 b,20.422288,Kepler-887,39.816989,13.47,1.19,6194.0,0.15491548,91.445689,787.83581,Superterran,1.29,F,2.1945873,Hot,0,0.27734752,1.83844,4.0370889,0.15491548
Kepler-887 c,7.6384602,Kepler-887,39.816989,13.47,1.19,6194.0,0.080419696,339.3345,1093.4575,Terran,1.29,F,2.1945873,Hot,0,0.29568256,1.13221,1.5166428,0.080419696
Kepler-888 b,70.697906,Kepler-888,49.738632,13.046,0.97,5875.0,0.33115999,7.8836882,426.9011,Superterran,0.9,G,0.86457993,Hot,0,0.41851875,1.75997,3.74891,0.33115999
Kepler-889 b,3.744439,Kepler-889,50.759489,12.71,1.14,5961.0,0.049287373,727.63538,1323.1935,Terran,1.25,G,1.7676047,Hot,0,0.29421329,1.08737,1.3121437,0.049287373
Kepler-890 b,52.758756,Kepler-890,43.763496,15.182,1.09,5954.0,0.28325751,17.919174,524.17271,Jovian,1.13,G,1.4377417,Hot,0,0.15259812,8.88953,58.625641,0.28325751
Kepler-891 b,53.449456,Kepler-891,40.355255,15.287,1.06,5887.0,0.28307861,15.37511,504.48641,Jovian,1.07,G,1.2320614,Hot,0,0.19259837,6.41212,33.6674,0.28307861
Kepler-892 b,13.752107,Kepler-892,43.888241,15.587,0.75,4747.0,0.10204134,22.650525,555.7948,Neptunian,0.72,K,0.23584711,Hot,0,0.27055003,2.81371,8.3151703,0.10204134
Kepler-893 b,6.3385576,Kepler-893,43.913006,15.182,1.0,5820.0,0.067014665,224.34235,985.99049,Neptunian,0.99,G,1.0075137,Hot,0,0.21398018,3.0267,9.4118347,0.067014665
Kepler-894 b,9.803224,Kepler-894,46.939396,15.439,0.87,5603.0,0.085558257,87.15356,778.42396,Neptunian,0.85,G,0.63798283,Hot,0,0.2328963,2.78008,8.1471405,0.085558257
Kepler-895 b,2.8062423,Kepler-895,51.408891,15.988,0.65,4315.0,0.033720767,101.6428,808.93582,Superterran,0.61,K,0.11557703,Hot,0,0.29075714,1.53577,2.9746177,0.033720767
Kepler-896 b,144.5474,Kepler-896,43.734486,15.481,0.84,5262.0,0.50848271,1.7430493,292.73343,Neptunian,0.81,K,0.45067354,Hot,0,0.63825477,2.53346,6.9584217,0.50848271
Kepler-897 b,8.0472642,Kepler-897,51.69582,15.068,1.03,5839.0,0.079351317,178.89613,931.74087,Superterran,1.04,G,1.126443,Hot,0,0.24313519,2.38773,6.2925768,0.079351317
Kepler-898 b,5.8706191,Kepler-898,46.87093,15.961,0.65,4223.0,0.055157335,36.003921,624.06864,Terran,0.62,K,0.10953587,Hot,0,0.31674754,1.49093,2.8286707,0.055157335
Kepler-899 b,19.178913,Kepler-899,40.68078,15.401,0.93,5595.0,0.13684214,38.82684,635.95725,Neptunian,0.91,G,0.72706258,Hot,0,0.25488597,2.67919,7.651547,0.13684214
Kepler-9 b,19.23891,Kepler-9,38.400892,13.803,1.02,5774.0,0.14326518,44.964836,659.26596,Jovian,0.96,G,0.91777924,Hot,0,0.1251161,8.2954,43.399414,0.143
Kepler-9 c,38.9853,Kepler-9,38.400892,13.803,1.02,5774.0,0.22750813,17.85093,523.23267,Jovian,0.96,G,0.91777924,Hot,0,0.16120802,8.08241,29.901259,0.227
Kepler-9 d,1.592851,Kepler-9,38.400892,13.803,1.02,5774.0,0.0273,1231.4391,1509.2047,Superterran,0.96,G,0.91777924,Hot,0,0.27368666,1.63666,3.3139434,0.0273
Kepler-90 i,14.44912,Kepler-90,49.305161,13.804,1.2,6080.0,0.12334766,115.87871,835.88363,Terran,1.2,G,1.7630534,Hot,0,0.29808123,1.32278,2.3086002,0.12334766
Kepler-900 b,6.9913086,Kepler-900,46.99902,14.94,0.78,4836.0,0.065853683,60.217039,709.69992,Superterran,0.73,K,0.26114369,Hot,0,0.2721851,2.08506,4.999023,0.065853683
